mode,AUC_mean
FERTAGUS,22.85714285714286
TRANSTEJO,19.25925925925926
METRO_LISBOA,11.271999999999995
CARRIS,9.46625330812827
RODOVIARIA_LISBOA,6.573631357304889
TST,6.185215325195072
SULFERTAGUS,1.883000466133612
