,in_degree,out_degree,betweenness
count,8381.0,8381.0,8381.0
mean,2.08972676291612,2.08972676291612,36995.48800859085
std,1.838676416207796,1.9299957793085496,91382.7571238326
min,0.0,0.0,0.0
25%,1.0,1.0,7439.944820784973
50%,1.0,1.0,15801.866924323971
75%,3.0,3.0,32932.551774491774
max,25.0,27.0,2806220.6314495285
