fraction_removed,nodes_remaining,largest_scc_size,APL,strategy
0.04999403412480611,7962,6510,14.269713163317057,random
0.09998806824961222,7543,5270,14.172827605380798,random
0.14998210237441834,7124,4320,14.410554033426806,random
0.19997613649922444,6705,3498,14.590376166584345,random
0.24997017062403054,6286,2819,14.799650601678612,random
0.29996420474883667,5867,2160,15.202294014718749,random
0.34995823887364275,5448,1422,14.591150325982277,random
0.3999522729984489,5029,1015,14.342230448596496,random
0.449946307123255,4610,628,15.465915440018692,random
0.4999403412480611,4191,372,13.67602817146335,random
0.5499343753728672,3772,222,13.85249276425747,random
0.5999284094976733,3353,70,9.924016563146997,random
0.6499224436224794,2934,60,10.012994350282487,random
0.6999164777472855,2515,32,5.763104838709677,random
0.7499105118720917,2096,19,4.508771929824562,random
0.7999045459968978,1677,17,4.525735294117647,random
0.8498985801217038,1258,3,1.0,random
0.89989261424651,839,3,1.0,random
0.9498866483713161,420,2,1.0,random
0.9998806824961222,1,1,0.0,random
1.0,0,0,,random
