fraction_removed,nodes_remaining,largest_scc_size,APL,strategy
0.04999403412480611,7962,5963,29.062932222708717,initial_betweenness
0.09998806824961222,7543,2729,24.2277913504243,initial_betweenness
0.14998210237441834,7124,1328,24.483883726314453,initial_betweenness
0.19997613649922444,6705,650,35.457060566552094,initial_betweenness
0.24997017062403054,6286,92,7.250597228858099,initial_betweenness
0.29996420474883667,5867,59,7.441846873173582,initial_betweenness
0.34995823887364275,5448,54,6.098881900768693,initial_betweenness
0.3999522729984489,5029,49,5.8061224489795915,initial_betweenness
0.449946307123255,4610,45,6.1893939393939394,initial_betweenness
0.4999403412480611,4191,21,8.297619047619047,initial_betweenness
0.5499343753728672,3772,21,8.297619047619047,initial_betweenness
0.5999284094976733,3353,21,8.297619047619047,initial_betweenness
0.6499224436224794,2934,21,8.297619047619047,initial_betweenness
0.6999164777472855,2515,21,8.297619047619047,initial_betweenness
0.7499105118720917,2096,21,8.297619047619047,initial_betweenness
0.7999045459968978,1677,21,8.297619047619047,initial_betweenness
0.8498985801217038,1258,21,8.297619047619047,initial_betweenness
0.89989261424651,839,21,8.297619047619047,initial_betweenness
0.9498866483713161,420,21,8.297619047619047,initial_betweenness
0.9998806824961222,1,1,0.0,initial_betweenness
1.0,0,0,,initial_betweenness
