fraction_removed,nodes_remaining,largest_scc_size,APL,strategy
0.04999403412480611,7962,6510,14.269713163317057,random
0.09998806824961222,7543,5270,14.172827605380798,random
0.14998210237441834,7124,4320,14.410554033426806,random
0.19997613649922444,6705,3498,14.590376166584345,random
0.24997017062403054,6286,2819,14.799650601678612,random
0.29996420474883667,5867,2160,15.202294014718749,random
0.34995823887364275,5448,1422,14.591150325982277,random
0.3999522729984489,5029,1015,14.342230448596496,random
0.449946307123255,4610,628,15.465915440018692,random
0.4999403412480611,4191,372,13.67602817146335,random
0.5499343753728672,3772,222,13.85249276425747,random
0.5999284094976733,3353,70,9.924016563146997,random
0.6499224436224794,2934,60,10.012994350282487,random
0.6999164777472855,2515,32,5.763104838709677,random
0.7499105118720917,2096,19,4.508771929824562,random
0.7999045459968978,1677,17,4.525735294117647,random
0.8498985801217038,1258,3,1.0,random
0.89989261424651,839,3,1.0,random
0.9498866483713161,420,2,1.0,random
0.9998806824961222,1,1,0.0,random
1.0,0,0,,random
0.04999403412480611,7962,6522,26.131693957309437,initial_degree
0.09998806824961222,7543,2593,47.06594692857789,initial_degree
0.14998210237441834,7124,619,39.336378750568564,initial_degree
0.19997613649922444,6705,309,25.808893372000167,initial_degree
0.24997017062403054,6286,119,22.413829938755164,initial_degree
0.29996420474883667,5867,53,16.289187227866474,initial_degree
0.34995823887364275,5448,19,9.052631578947368,initial_degree
0.3999522729984489,5029,9,4.5,initial_degree
0.449946307123255,4610,9,4.5,initial_degree
0.4999403412480611,4191,9,4.5,initial_degree
0.5499343753728672,3772,9,4.5,initial_degree
0.5999284094976733,3353,2,1.0,initial_degree
0.6499224436224794,2934,2,1.0,initial_degree
0.6999164777472855,2515,2,1.0,initial_degree
0.7499105118720917,2096,2,1.0,initial_degree
0.7999045459968978,1677,2,1.0,initial_degree
0.8498985801217038,1258,2,1.0,initial_degree
0.89989261424651,839,2,1.0,initial_degree
0.9498866483713161,420,2,1.0,initial_degree
0.9998806824961222,1,1,0.0,initial_degree
1.0,0,0,,initial_degree
0.04999403412480611,7962,5963,29.062932222708717,initial_betweenness
0.09998806824961222,7543,2729,24.2277913504243,initial_betweenness
0.14998210237441834,7124,1328,24.483883726314453,initial_betweenness
0.19997613649922444,6705,650,35.457060566552094,initial_betweenness
0.24997017062403054,6286,92,7.250597228858099,initial_betweenness
0.29996420474883667,5867,59,7.441846873173582,initial_betweenness
0.34995823887364275,5448,54,6.098881900768693,initial_betweenness
0.3999522729984489,5029,49,5.8061224489795915,initial_betweenness
0.449946307123255,4610,45,6.1893939393939394,initial_betweenness
0.4999403412480611,4191,21,8.297619047619047,initial_betweenness
0.5499343753728672,3772,21,8.297619047619047,initial_betweenness
0.5999284094976733,3353,21,8.297619047619047,initial_betweenness
0.6499224436224794,2934,21,8.297619047619047,initial_betweenness
0.6999164777472855,2515,21,8.297619047619047,initial_betweenness
0.7499105118720917,2096,21,8.297619047619047,initial_betweenness
0.7999045459968978,1677,21,8.297619047619047,initial_betweenness
0.8498985801217038,1258,21,8.297619047619047,initial_betweenness
0.89989261424651,839,21,8.297619047619047,initial_betweenness
0.9498866483713161,420,21,8.297619047619047,initial_betweenness
0.9998806824961222,1,1,0.0,initial_betweenness
1.0,0,0,,initial_betweenness
0.04999403412480611,7962,7137,15.605694225318572,recalc_degree
0.09998806824961222,7543,5791,18.16616955796753,recalc_degree
0.14998210237441834,7124,3937,20.533355506751665,recalc_degree
0.19997613649922444,6705,2674,20.272545393545975,recalc_degree
0.24997017062403054,6286,1853,20.278654135084196,recalc_degree
0.29996420474883667,5867,1620,20.00972746475114,recalc_degree
0.34995823887364275,5448,1303,15.187017906214301,recalc_degree
0.3999522729984489,5029,1199,14.833978927904584,recalc_degree
0.449946307123255,4610,1199,14.833978927904584,recalc_degree
0.4999403412480611,4191,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.5000596587519389,4190,1199,14.833978927904584,recalc_degree
0.04999403412480611,7962,7137,15.605694225318572,recalc_betweenness
0.09998806824961222,7543,6411,16.386557279792363,recalc_betweenness
0.14998210237441834,7124,5824,16.725522062944783,recalc_betweenness
0.19997613649922444,6705,5644,16.851625314781344,recalc_betweenness
0.24997017062403054,6286,5570,16.95244935980242,recalc_betweenness
0.29996420474883667,5867,5293,17.516725551609902,recalc_betweenness
0.34995823887364275,5448,4693,17.69112851321798,recalc_betweenness
0.3999522729984489,5029,4352,17.69185577478808,recalc_betweenness
0.449946307123255,4610,3883,17.817277932328437,recalc_betweenness
0.4999403412480611,4191,3507,18.72601240351991,recalc_betweenness
0.5499343753728672,3772,1983,13.603623992635688,recalc_betweenness
0.5999284094976733,3353,1982,13.606523323745105,recalc_betweenness
0.6499224436224794,2934,1980,13.63136442749884,recalc_betweenness
0.6999164777472855,2515,1889,14.22313505486716,recalc_betweenness
0.7499105118720917,2096,1213,16.207743940098872,recalc_betweenness
0.7999045459968978,1677,1057,16.989943486425275,recalc_betweenness
