route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
193008,28292075,28292075,,,,193008
193008,28292078,28292078,,,,193008
193008,28292081,28292081,,,,193008
193008,28292105,28292105,,,,193008
193008,28292108,28292108,,,,193008
193008,28292198,28292198,,,,193008
193008,28292219,28292219,,,,193008
193008,28292225,28292225,,,,193008
193008,28292315,28292315,,,,193008
193008,28292336,28292336,,,,193008
193008,28292342,28292342,,,,193008
193008,28292496,28292496,,,,193008
193008,28292501,28292501,,,,193008
193008,28292756,28292756,,,,193008
193008,28292763,28292763,,,,193008
193008,28292765,28292765,,,,193008
193033,28246242,28246242,,,,193033
193033,28246243,28246243,,,,193033
193033,28246244,28246244,,,,193033
193033,28246245,28246245,,,,193033
193033,28246246,28246246,,,,193033
193033,28246164,28246164,,,,193033
193033,28246167,28246167,,,,193033
193033,28246170,28246170,,,,193033
193033,28246158,28246158,,,,193033
193033,28246161,28246161,,,,193033
193033,28246176,28246176,,,,193033
193033,28246179,28246179,,,,193033
193033,28246182,28246182,,,,193033
193033,28246173,28246173,,,,193033
193033,28246185,28246185,,,,193033
193033,28246189,28246189,,,,193033
193033,28246194,28246194,,,,193033
193033,28246199,28246199,,,,193033
193033,28246204,28246204,,,,193033
193033,28246209,28246209,,,,193033
193033,28246155,28246155,,,,193033
193033,28246143,28246143,,,,193033
193033,28246146,28246146,,,,193033
193033,28246149,28246149,,,,193033
193033,28246152,28246152,,,,193033
193034,28254750,28254750,,,,193034
193034,28254751,28254751,,,,193034
193034,28254752,28254752,,,,193034
193034,28254753,28254753,,,,193034
193034,28254678,28254678,,,,193034
193034,28254681,28254681,,,,193034
193034,28254684,28254684,,,,193034
193034,28254687,28254687,,,,193034
193034,28254690,28254690,,,,193034
193034,28254693,28254693,,,,193034
193034,28254696,28254696,,,,193034
193034,28254699,28254699,,,,193034
193034,28254703,28254703,,,,193034
193034,28254708,28254708,,,,193034
193034,28254713,28254713,,,,193034
193034,28254718,28254718,,,,193034
193034,28254660,28254660,,,,193034
193034,28254669,28254669,,,,193034
193034,28254675,28254675,,,,193034
193034,28254672,28254672,,,,193034
193034,28254663,28254663,,,,193034
193034,28254666,28254666,,,,193034
193035,28239199,28239199,,,,193035
193035,28239200,28239200,,,,193035
193035,28239169,28239169,,,,193035
193035,28239172,28239172,,,,193035
193035,28239175,28239175,,,,193035
193035,28239178,28239178,,,,193035
193035,28239182,28239182,,,,193035
193035,28239187,28239187,,,,193035
193035,28239163,28239163,,,,193035
193035,28239166,28239166,,,,193035
193039,28214097,28214097,,,,193039
193039,28214098,28214098,,,,193039
193039,28214099,28214099,,,,193039
193039,28214100,28214100,,,,193039
193039,28214101,28214101,,,,193039
193039,28214009,28214009,,,,193039
193039,28214012,28214012,,,,193039
193039,28214015,28214015,,,,193039
193039,28214018,28214018,,,,193039
193039,28214021,28214021,,,,193039
193039,28214024,28214024,,,,193039
193039,28214027,28214027,,,,193039
193039,28214030,28214030,,,,193039
193039,28214033,28214033,,,,193039
193039,28214036,28214036,,,,193039
193039,28214040,28214040,,,,193039
193039,28214045,28214045,,,,193039
193039,28214050,28214050,,,,193039
193039,28214055,28214055,,,,193039
193039,28214060,28214060,,,,193039
193039,28214003,28214003,,,,193039
193039,28213985,28213985,,,,193039
193039,28213991,28213991,,,,193039
193039,28213997,28213997,,,,193039
193039,28213994,28213994,,,,193039
193039,28213988,28213988,,,,193039
193039,28214000,28214000,,,,193039
193039,28214006,28214006,,,,193039
193040,28246384,28246384,,,,193040
193040,28246385,28246385,,,,193040
193040,28246386,28246386,,,,193040
193040,28246387,28246387,,,,193040
193040,28246310,28246310,,,,193040
193040,28246313,28246313,,,,193040
193040,28246316,28246316,,,,193040
193040,28246319,28246319,,,,193040
193040,28246322,28246322,,,,193040
193040,28246325,28246325,,,,193040
193040,28246328,28246328,,,,193040
193040,28246331,28246331,,,,193040
193040,28246335,28246335,,,,193040
193040,28246340,28246340,,,,193040
193040,28246345,28246345,,,,193040
193040,28246350,28246350,,,,193040
193040,28246289,28246289,,,,193040
193040,28246295,28246295,,,,193040
193040,28246298,28246298,,,,193040
193040,28246307,28246307,,,,193040
193040,28246304,28246304,,,,193040
193040,28246301,28246301,,,,193040
193040,28246292,28246292,,,,193040
193045,28269967,28269967,,,,193045
193045,28269968,28269968,,,,193045
193045,28269931,28269931,,,,193045
193045,28269934,28269934,,,,193045
193045,28269937,28269937,,,,193045
193045,28269940,28269940,,,,193045
193045,28269944,28269944,,,,193045
193045,28269949,28269949,,,,193045
193045,28269925,28269925,,,,193045
193045,28269928,28269928,,,,193045
193046,28229828,28229828,,,,193046
193046,28229829,28229829,,,,193046
193046,28229830,28229830,,,,193046
193046,28229831,28229831,,,,193046
193046,28229832,28229832,,,,193046
193046,28229833,28229833,,,,193046
193046,28229834,28229834,,,,193046
193046,28229835,28229835,,,,193046
193046,28229836,28229836,,,,193046
193046,28229837,28229837,,,,193046
193046,28229838,28229838,,,,193046
193046,28229839,28229839,,,,193046
193046,28229842,28229842,,,,193046
193046,28229845,28229845,,,,193046
193046,28229848,28229848,,,,193046
193046,28229851,28229851,,,,193046
193046,28229854,28229854,,,,193046
193046,28229857,28229857,,,,193046
193046,28229860,28229860,,,,193046
193046,28229863,28229863,,,,193046
193046,28229866,28229866,,,,193046
193046,28229869,28229869,,,,193046
193046,28229872,28229872,,,,193046
193046,28229875,28229875,,,,193046
193046,28229878,28229878,,,,193046
193046,28229881,28229881,,,,193046
193046,28229884,28229884,,,,193046
193046,28229887,28229887,,,,193046
193046,28229890,28229890,,,,193046
193046,28229399,28229399,,,,193046
193046,28229402,28229402,,,,193046
193046,28229405,28229405,,,,193046
193046,28229408,28229408,,,,193046
193046,28229411,28229411,,,,193046
193046,28229414,28229414,,,,193046
193046,28229417,28229417,,,,193046
193046,28229420,28229420,,,,193046
193046,28229423,28229423,,,,193046
193046,28229426,28229426,,,,193046
193046,28229429,28229429,,,,193046
193046,28229432,28229432,,,,193046
193046,28229487,28229487,,,,193046
193046,28229492,28229492,,,,193046
193046,28229497,28229497,,,,193046
193046,28229502,28229502,,,,193046
193046,28229507,28229507,,,,193046
193046,28229512,28229512,,,,193046
193046,28229517,28229517,,,,193046
193046,28229522,28229522,,,,193046
193046,28229527,28229527,,,,193046
193046,28229532,28229532,,,,193046
193046,28229537,28229537,,,,193046
193046,28229542,28229542,,,,193046
193046,28229547,28229547,,,,193046
193046,28229552,28229552,,,,193046
193046,28229557,28229557,,,,193046
193046,28229562,28229562,,,,193046
193046,28229567,28229567,,,,193046
193046,28229572,28229572,,,,193046
193046,28229577,28229577,,,,193046
193046,28229582,28229582,,,,193046
193046,28229625,28229625,,,,193046
193046,28229628,28229628,,,,193046
193046,28229649,28229649,,,,193046
193046,28229631,28229631,,,,193046
193046,28229634,28229634,,,,193046
193046,28229661,28229661,,,,193046
193046,28229637,28229637,,,,193046
193046,28229622,28229622,,,,193046
193046,28229640,28229640,,,,193046
193046,28229643,28229643,,,,193046
193046,28229646,28229646,,,,193046
193046,28229676,28229676,,,,193046
193046,28229679,28229679,,,,193046
193046,28229712,28229712,,,,193046
193046,28229715,28229715,,,,193046
193046,28229718,28229718,,,,193046
193046,28229721,28229721,,,,193046
193046,28229652,28229652,,,,193046
193046,28229664,28229664,,,,193046
193046,28229685,28229685,,,,193046
193046,28229673,28229673,,,,193046
193046,28229703,28229703,,,,193046
193046,28229655,28229655,,,,193046
193046,28229658,28229658,,,,193046
193046,28229667,28229667,,,,193046
193046,28229670,28229670,,,,193046
193046,28229688,28229688,,,,193046
193046,28229691,28229691,,,,193046
193046,28229682,28229682,,,,193046
193046,28229694,28229694,,,,193046
193046,28229697,28229697,,,,193046
193046,28229700,28229700,,,,193046
193046,28229706,28229706,,,,193046
193046,28229709,28229709,,,,193046
193047,28254076,28254076,,,,193047
193047,28254077,28254077,,,,193047
193047,28254078,28254078,,,,193047
193047,28254079,28254079,,,,193047
193047,28254080,28254080,,,,193047
193047,28254081,28254081,,,,193047
193047,28254082,28254082,,,,193047
193047,28254083,28254083,,,,193047
193047,28254084,28254084,,,,193047
193047,28254085,28254085,,,,193047
193047,28254086,28254086,,,,193047
193047,28254087,28254087,,,,193047
193047,28254090,28254090,,,,193047
193047,28254093,28254093,,,,193047
193047,28254096,28254096,,,,193047
193047,28254099,28254099,,,,193047
