trip_id,start_time,end_time,headway_secs,exact_times
28254911,18:36:00,19:16:00,1200,1
28255007,16:04:00,16:23:00,1140,1
28255013,17:01:00,17:19:00,1080,1
28255016,17:37:00,17:55:00,1080,1
28255019,18:12:00,18:30:00,1080,1
28255025,19:05:00,19:22:00,1020,1
28255034,20:38:00,20:57:00,1140,1
28254916,19:36:00,19:56:00,1200,1
28212476,07:15:00,08:15:00,1800,1
28212477,08:50:00,18:45:00,2100,1
28212478,19:15:00,19:45:00,1800,1
28212353,07:15:00,08:15:00,1800,1
28212356,08:50:00,18:45:00,2100,1
28212359,19:15:00,19:45:00,1800,1
28212365,07:15:00,08:15:00,1800,1
28212368,08:50:00,18:45:00,2100,1
28212371,19:15:00,19:45:00,1800,1
28212335,12:05:00,12:40:00,2100,1
28251662,17:20:00,17:55:00,2100,1
28277377,05:40:00,08:52:00,1440,1
28277378,09:11:00,19:00:00,1140,1
28277379,19:18:00,19:37:00,1140,1
28277380,19:55:00,20:14:00,1140,1
28277381,20:39:00,21:04:00,1500,1
28277385,05:40:00,07:00:00,960,1
28277388,07:17:00,08:42:00,1020,1
28277391,08:57:00,19:42:00,900,1
28277394,20:00:00,21:12:00,1080,1
28277078,05:40:00,08:52:00,1440,1
28277081,09:11:00,19:00:00,1140,1
28277084,19:18:00,19:37:00,1140,1
28277087,19:55:00,20:14:00,1140,1
28277090,20:39:00,21:04:00,1500,1
28277202,19:12:00,20:12:00,600,1
28277207,20:25:00,21:17:00,780,1
28277172,17:13:00,17:29:00,480,1
28277177,17:38:00,17:46:00,480,1
28277182,17:50:00,17:55:00,300,1
28277187,18:03:00,18:11:00,480,1
28277192,18:20:00,18:44:00,480,1
28277197,18:53:00,19:02:00,540,1
28277142,08:35:00,09:07:00,480,1
28277147,09:11:00,09:15:00,240,1
28277152,09:23:00,09:47:00,480,1
28277157,10:00:00,16:04:00,780,1
28277162,16:15:00,16:39:00,480,1
28277167,16:48:00,17:04:00,480,1
28277112,05:40:00,06:40:00,720,1
28277117,06:50:00,06:58:00,480,1
28277122,07:00:00,07:30:00,600,1
28277127,07:38:00,07:47:00,540,1
28277132,07:55:00,08:02:00,420,1
28277137,08:04:00,08:28:00,480,1
28277234,05:40:00,06:16:00,720,1
28277237,06:27:00,06:54:00,540,1
28277240,06:58:00,07:03:00,300,1
28277315,20:00:00,20:18:00,540,1
28277318,20:29:00,20:41:00,720,1
28277321,20:52:00,21:04:00,720,1
28277297,18:00:00,18:16:00,480,1
28277300,18:23:00,18:31:00,480,1
28277303,18:38:00,18:45:00,420,1
28277306,18:53:00,19:17:00,480,1
28277309,19:26:00,19:34:00,480,1
28277312,19:43:00,19:51:00,480,1
28277279,16:15:00,16:22:00,420,1
28277282,16:30:00,16:51:00,420,1
28277285,16:59:00,17:07:00,480,1
28277288,17:14:00,17:30:00,480,1
28277291,17:37:00,17:45:00,480,1
28277294,17:50:00,17:53:00,180,1
28277261,08:36:00,08:43:00,420,1
28277264,08:51:00,09:05:00,420,1
28277267,09:11:00,09:13:00,120,1
28277270,09:20:00,09:28:00,480,1
28277273,09:35:00,09:42:00,420,1
28277276,09:51:00,16:05:00,660,1
28277243,07:12:00,07:20:00,480,1
28277246,07:29:00,07:37:00,480,1
28277249,07:44:00,07:51:00,420,1
28277252,07:59:00,08:02:00,180,1
28277255,08:06:00,08:13:00,420,1
28277258,08:21:00,08:28:00,420,1
28269266,05:15:00,08:27:00,1440,1
28269267,08:46:00,09:00:00,840,1
28269268,09:19:00,19:46:00,1140,1
28269269,20:12:00,21:04:00,1560,1
28269279,06:03:00,06:51:00,960,1
28268770,06:03:00,06:51:00,1440,1
28268873,05:15:00,06:15:00,720,1
28268878,06:25:00,06:26:00,60,1
28269067,05:15:00,06:15:00,720,1
28269070,06:25:00,06:26:00,60,1
28269073,06:35:00,06:53:00,540,1
28269285,08:26:00,09:26:00,900,1
28269309,14:41:00,14:56:00,900,1
28269276,05:31:00,05:47:00,960,1
28269282,07:07:00,08:15:00,1020,1
28268785,09:00:00,09:57:00,1140,1
28268791,10:35:00,10:54:00,1140,1
28268797,11:32:00,11:51:00,1140,1
28268815,14:42:00,15:20:00,1140,1
