service_id,date,exception_type
24516610,20111225,1
24516610,20120101,1
24516610,20120408,1
24516610,20120603,1
24516610,20120610,1
24516610,20131201,1
24516610,20131208,1
24516610,20151101,1
24516610,20151227,1
24516610,20160103,1
24516610,20160327,1
24516610,20160501,1
24516610,20161225,1
24516610,20170101,1
24516610,20170402,1
24516610,20180603,1
24516610,20180610,1
24516610,20191201,1
24516610,20191208,1
24516610,20200216,1
24516610,20201101,1
24516610,20120402,1
24516610,20130603,1
24516610,20130610,1
24516610,20141208,1
24516610,20150216,1
24516610,20151005,1
24516610,20160404,1
24516610,20160425,1
24516610,20160613,1
24516610,20160815,1
24516610,20170501,1
24516610,20171225,1
24516610,20180101,1
24516610,20180402,1
24516610,20190603,1
24516610,20190610,1
24516610,20201005,1
24516610,20111101,1
24516610,20120501,1
24516610,20121225,1
24516610,20130101,1
24516610,20130402,1
24516610,20140610,1
24516610,20151201,1
24516610,20151208,1
24516610,20160216,1
24516610,20161101,1
24516610,20170228,1
24516610,20170404,1
24516610,20170425,1
24516610,20170613,1
24516610,20180501,1
24516610,20181225,1
24516610,20190101,1
24516610,20190305,1
24516610,20190402,1
24516610,20201201,1
24516610,20201208,1
24516610,20111005,1
24516610,20120404,1
24516610,20120425,1
24516610,20120613,1
24516610,20120815,1
24516610,20130501,1
24516610,20131225,1
24516610,20140101,1
24516610,20150603,1
24516610,20150610,1
24516610,20161005,1
24516610,20171101,1
24516610,20180228,1
24516610,20180404,1
24516610,20180425,1
24516610,20180613,1
24516610,20180815,1
24516610,20190501,1
24516610,20191225,1
24516610,20200101,1
24516610,20200603,1
24516610,20200610,1
24516610,20111201,1
24516610,20111208,1
24516610,20120216,1
24516610,20120607,1
24516610,20121101,1
24516610,20130404,1
24516610,20130425,1
24516610,20130613,1
24516610,20130815,1
24516610,20140501,1
24516610,20141225,1
24516610,20150101,1
24516610,20150402,1
24516610,20161201,1
24516610,20161208,1
24516610,20170216,1
24516610,20170615,1
24516610,20171005,1
24516610,20180531,1
24516610,20181101,1
24516610,20190404,1
24516610,20190425,1
24516610,20190613,1
24516610,20190620,1
24516610,20200402,1
24516610,20120406,1
24516610,20121005,1
24516610,20130329,1
24516610,20131101,1
24516610,20140418,1
24516610,20140425,1
24516610,20140613,1
24516610,20140815,1
24516610,20150403,1
24516610,20150501,1
24516610,20151225,1
24516610,20160101,1
24516610,20160325,1
24516610,20160603,1
24516610,20160610,1
24516610,20171201,1
24516610,20171208,1
24516610,20180216,1
24516610,20180330,1
24516610,20180615,1
24516610,20181005,1
24516610,20191101,1
24516610,20200501,1
24516610,20201225,1
24516610,20121201,1
24516610,20121208,1
24516610,20130216,1
24516610,20131005,1
24516610,20150404,1
24516610,20150425,1
24516610,20150613,1
24516610,20151226,1
24516610,20160402,1
24516610,20170603,1
24516610,20170610,1
24516610,20181201,1
24516610,20181208,1
24516610,20190216,1
24516610,20191005,1
24516610,20200404,1
24516611,20111225,1
24516611,20120101,1
24516611,20120408,1
24516611,20120603,1
24516611,20120610,1
24516611,20131201,1
24516611,20131208,1
24516611,20151101,1
24516611,20151227,1
24516611,20160103,1
24516611,20160327,1
24516611,20160501,1
24516611,20161225,1
24516611,20170101,1
24516611,20170402,1
24516611,20180603,1
24516611,20180610,1
24516611,20191201,1
24516611,20191208,1
24516611,20200216,1
24516611,20201101,1
24516611,20120402,1
24516611,20130603,1
24516611,20130610,1
24516611,20141208,1
24516611,20150216,1
24516611,20151005,1
24516611,20160404,1
24516611,20160425,1
24516611,20160613,1
24516611,20160815,1
24516611,20170501,1
24516611,20171225,1
24516611,20180101,1
24516611,20180402,1
24516611,20190603,1
24516611,20190610,1
24516611,20201005,1
24516611,20111101,1
24516611,20120501,1
24516611,20121225,1
24516611,20130101,1
24516611,20130402,1
24516611,20140610,1
24516611,20151201,1
24516611,20151208,1
24516611,20160216,1
24516611,20161101,1
24516611,20170228,1
24516611,20170404,1
24516611,20170425,1
24516611,20170613,1
24516611,20180501,1
24516611,20181225,1
24516611,20190101,1
24516611,20190305,1
24516611,20190402,1
24516611,20201201,1
24516611,20201208,1
24516611,20111005,1
24516611,20120404,1
24516611,20120425,1
24516611,20120613,1
24516611,20120815,1
24516611,20130501,1
24516611,20131225,1
24516611,20140101,1
24516611,20150603,1
24516611,20150610,1
24516611,20161005,1
24516611,20171101,1
24516611,20180228,1
24516611,20180404,1
24516611,20180425,1
24516611,20180613,1
24516611,20180815,1
24516611,20190501,1
24516611,20191225,1
24516611,20200101,1
24516611,20200603,1
24516611,20200610,1
24516611,20111201,1
24516611,20111208,1
24516611,20120216,1
24516611,20120607,1
24516611,20121101,1
24516611,20130404,1
24516611,20130425,1
24516611,20130613,1
24516611,20130815,1
24516611,20140501,1
24516611,20141225,1
24516611,20150101,1
24516611,20150402,1
24516611,20161201,1
24516611,20161208,1
24516611,20170216,1
24516611,20170615,1
24516611,20171005,1
24516611,20180531,1
24516611,20181101,1
24516611,20190404,1
24516611,20190425,1
24516611,20190613,1
24516611,20190620,1
24516611,20200402,1
24516611,20120406,1
24516611,20121005,1
24516611,20130329,1
24516611,20131101,1
24516611,20140418,1
24516611,20140425,1
24516611,20140613,1
24516611,20140815,1
24516611,20150403,1
24516611,20150501,1
24516611,20151225,1
24516611,20160101,1
24516611,20160325,1
24516611,20160603,1
24516611,20160610,1
24516611,20171201,1
24516611,20171208,1
24516611,20180216,1
24516611,20180330,1
24516611,20180615,1
24516611,20181005,1
24516611,20191101,1
24516611,20200501,1
24516611,20201225,1
24516611,20121201,1
24516611,20121208,1
24516611,20130216,1
24516611,20131005,1
24516611,20150404,1
24516611,20150425,1
24516611,20150613,1
24516611,20151226,1
24516611,20160402,1
24516611,20170603,1
24516611,20170610,1
24516611,20181201,1
24516611,20181208,1
24516611,20190216,1
24516611,20191005,1
24516611,20200404,1
24516612,20111225,1
24516612,20120101,1
24516612,20120408,1
24516612,20120603,1
24516612,20120610,1
24516612,20131201,1
24516612,20131208,1
24516612,20151101,1
24516612,20151227,1
24516612,20160103,1
24516612,20160327,1
24516612,20160501,1
24516612,20161225,1
24516612,20170101,1
24516612,20170402,1
24516612,20180603,1
24516612,20180610,1
24516612,20191201,1
24516612,20191208,1
24516612,20200216,1
24516612,20201101,1
24516612,20120402,1
24516612,20130603,1
24516612,20130610,1
24516612,20141208,1
24516612,20150216,1
24516612,20151005,1
24516612,20160404,1
24516612,20160425,1
24516612,20160613,1
24516612,20160815,1
24516612,20170501,1
24516612,20171225,1
24516612,20180101,1
24516612,20180402,1
24516612,20190603,1
24516612,20190610,1
24516612,20201005,1
24516612,20111101,1
24516612,20120501,1
24516612,20121225,1
24516612,20130101,1
24516612,20130402,1
24516612,20140610,1
24516612,20151201,1
24516612,20151208,1
24516612,20160216,1
24516612,20161101,1
24516612,20170228,1
24516612,20170404,1
24516612,20170425,1
24516612,20170613,1
24516612,20180501,1
24516612,20181225,1
24516612,20190101,1
24516612,20190305,1
24516612,20190402,1
24516612,20201201,1
24516612,20201208,1
24516612,20111005,1
24516612,20120404,1
24516612,20120425,1
24516612,20120613,1
24516612,20120815,1
24516612,20130501,1
24516612,20131225,1
24516612,20140101,1
